,MSSubClass,MSZoning,Street,LotShape,LandContour,Utilities,LotConfig,Neighborhood,BldgType,HouseStyle,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,Heating,HeatingQC,CentralAir,Electrical,KitchenAbvGr,KitchenQual,Functional,GarageType,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SaleCondition,OverallQual,OverallCond,SalePrice,LotArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,YearsToSale
254,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,Gd,CBlock,TA,TA,Rec,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,250,0,0,0,0,0,Normal,5,6,145000,8400,922,1314,1314,0,0,1314,3,5,0,1,294,53
255,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,192,0,0,0,0,0,Normal,7,5,230000,8738,0,975,1005,1286,0,2291,4,8,1,2,429,7
256,60,FV,Pave,IR1,Lvl,AllPub,Inside,Somerst,1Fam,2Story,Gd,TA,PConc,Gd,TA,Rec,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,216,56,0,0,0,0,Normal,6,5,207500,8791,503,864,864,864,0,1728,3,7,0,2,673,5
257,20,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,123,110,0,0,0,0,Abnorml,7,5,220000,8814,1334,1604,1604,0,0,1604,3,8,1,2,660,3
258,60,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,96,0,245,0,0,Normal,7,5,231500,12435,361,963,963,829,0,1792,3,7,1,2,564,7
259,20,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1Story,TA,TA,PConc,None,None,None,GasA,Gd,Y,FuseA,1,TA,Typ,Detchd,Y,0,45,0,0,0,0,Normal,5,5,97000,12702,0,0,882,0,0,882,2,4,0,1,308,52
260,80,RL,Pave,Reg,Lvl,AllPub,Corner,NAmes,1Fam,SLvl,TA,TA,CBlock,TA,TA,Rec,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,252,0,0,0,Normal,6,5,176000,19296,672,1362,1382,0,0,1382,3,6,1,2,884,47
261,60,RL,Pave,IR1,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Ex,Typ,BuiltIn,Y,0,148,0,0,0,0,Partial,8,5,276000,9588,0,1482,1482,1092,0,2574,3,10,1,3,868,0
262,80,RL,Pave,IR1,Lvl,AllPub,Corner,Sawyer,1Fam,SLvl,TA,TA,CBlock,Gd,Gd,ALQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,292,12,0,0,0,0,Normal,6,7,151000,8471,506,506,1212,0,0,1212,3,6,1,2,492,11
263,50,RM,Pave,Reg,Lvl,AllPub,Corner,OldTown,1Fam,1.5Fin,TA,TA,BrkTil,TA,TA,LwQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,5,7,130000,5500,234,926,926,0,390,1316,3,6,0,2,484,9
264,30,RM,Pave,IR3,Bnk,AllPub,Inside,OldTown,1Fam,1Story,TA,TA,BrkTil,Fa,TA,Unf,GasA,Gd,N,FuseP,1,TA,Typ,Detchd,N,0,0,0,0,0,0,Normal,5,5,73000,5232,0,680,764,0,0,764,2,4,0,2,504,4
265,20,RL,Pave,IR1,Lvl,AllPub,Inside,NWAmes,1Fam,1Story,TA,Gd,CBlock,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,Gd,Typ,Attchd,Y,276,0,0,0,0,0,Normal,6,6,175500,12090,588,1422,1422,0,0,1422,3,7,1,2,576,27
266,60,RL,Pave,IR1,HLS,AllPub,FR2,Gilbert,1Fam,2Story,TA,TA,PConc,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,95,75,0,0,0,0,Normal,6,5,185000,11207,714,802,802,709,0,1511,3,8,1,2,413,9
267,75,RL,Pave,Reg,Bnk,AllPub,Inside,SWISU,1Fam,2.5Fin,TA,TA,PConc,TA,TA,LwQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Detchd,Y,262,24,0,0,0,0,Normal,5,8,179500,8400,378,720,1052,720,420,2192,4,8,1,1,240,11
268,30,RM,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,0,25,0,0,0,0,Normal,5,6,120500,6900,403,740,778,0,0,778,2,4,1,1,924,53
269,20,RL,Pave,IR1,Lvl,AllPub,Corner,Edwards,1Fam,1Story,TA,Gd,CBlock,TA,Gd,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,370,30,0,0,0,0,Normal,6,7,148000,7917,751,1143,1113,0,0,1113,3,6,1,1,504,31
270,60,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,192,51,0,0,0,0,Partial,8,5,266000,10728,0,1095,1095,844,0,1939,3,8,1,3,1053,0
271,20,RL,Pave,IR1,Low,AllPub,CulDSac,ClearCr,1Fam,1Story,TA,TA,CBlock,Gd,TA,LwQ,GasA,Ex,Y,SBrkr,1,TA,Mod,Attchd,Y,81,0,0,0,0,0,Normal,7,7,241500,39104,226,1385,1363,0,0,1363,2,5,2,2,439,3
272,60,RL,Pave,IR1,Lvl,AllPub,CulDSac,NoRidge,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,132,57,0,0,0,0,Normal,8,7,290000,11764,524,1152,1164,1106,0,2270,4,9,1,3,671,3
273,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Gd,Y,SBrkr,1,TA,Min1,Attchd,Y,289,0,0,0,0,0,Normal,6,6,139000,9600,620,1240,1632,0,0,1632,3,6,1,1,338,21
274,20,RL,Pave,Reg,Lvl,AllPub,Corner,Mitchel,1Fam,1Story,TA,TA,CBlock,TA,TA,ALQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,168,0,0,0,0,0,Normal,5,7,124500,8314,546,816,816,0,0,816,2,5,0,1,264,25
275,50,RL,Pave,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,1.5Fin,Gd,Gd,BrkTil,TA,TA,Unf,GasW,Gd,N,SBrkr,1,Ex,Typ,Detchd,Y,74,0,0,0,144,0,Normal,7,7,205000,7264,0,952,952,596,0,1548,3,5,0,2,672,2
276,20,RL,Pave,IR1,Lvl,AllPub,Inside,Mitchel,1Fam,1Story,Gd,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,100,150,0,0,0,0,Normal,7,5,201000,9196,0,1560,1560,0,0,1560,3,7,0,2,573,7
277,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gilbert,1Fam,1Story,TA,TA,CBlock,TA,TA,LwQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,4,5,141000,19138,120,864,864,0,0,864,2,4,0,2,400,59
278,20,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,Ex,TA,PConc,Ex,TA,Unf,GasA,Ex,Y,SBrkr,1,Ex,Typ,Attchd,Y,124,98,0,0,142,0,Partial,9,5,415298,14450,0,2121,2121,0,0,2121,3,8,1,3,732,0
279,60,RL,Pave,Reg,Lvl,AllPub,Inside,ClearCr,1Fam,2Story,TA,TA,CBlock,Gd,TA,BLQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,288,117,0,0,0,0,Normal,7,5,192000,10005,392,1160,1156,866,0,2022,4,8,1,2,505,31
280,60,RL,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,2Story,Gd,TA,CBlock,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,84,0,196,0,0,Normal,7,6,228500,11287,421,807,1175,807,0,1982,3,7,1,2,575,18
281,20,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,120,0,0,0,0,Partial,6,5,185000,7200,905,1262,1262,0,0,1262,2,5,0,2,572,0
282,120,RL,Pave,Reg,Lvl,AllPub,Inside,NridgHt,Twnhs,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,172,62,0,0,0,0,Normal,7,5,207500,5063,904,1314,1314,0,0,1314,2,6,1,2,626,1
283,20,RL,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,1Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,210,150,0,0,0,0,Partial,8,5,244600,9612,0,1468,1468,0,0,1468,3,6,1,3,898,0
284,120,RL,Pave,Reg,Lvl,AllPub,Inside,SawyerW,TwnhsE,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,0,52,0,0,0,Normal,6,5,179200,8012,430,1575,1575,0,0,1575,2,5,0,2,529,15
285,160,FV,Pave,IR1,Lvl,AllPub,Inside,Somerst,TwnhsE,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,54,0,0,0,0,Partial,7,5,164700,4251,0,625,625,625,0,1250,2,5,0,2,528,0
286,50,RL,Pave,IR1,Bnk,AllPub,Inside,NAmes,1Fam,1.5Fin,TA,TA,CBlock,TA,TA,Rec,GasA,TA,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,0,0,0,128,0,Normal,6,7,159000,9786,600,912,1085,649,0,1734,3,7,1,2,440,25
287,20,RL,Pave,IR1,Lvl,AllPub,Corner,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,None,Y,0,0,0,0,0,0,Normal,4,4,88000,8125,614,858,858,0,0,858,3,5,0,0,0,35
288,20,RL,Pave,IR1,Lvl,AllPub,Inside,Sawyer,1Fam,1Story,TA,Gd,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,5,5,122000,9819,450,882,900,0,0,900,3,5,0,1,280,43
289,70,RL,Pave,Reg,Lvl,AllPub,Inside,BrkSide,1Fam,2Story,TA,TA,BrkTil,TA,TA,Unf,GasA,Ex,Y,FuseA,1,TA,Typ,Detchd,Y,0,0,0,0,259,0,Normal,6,7,153575,8730,0,698,698,698,0,1396,3,7,0,1,384,4
290,60,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,51,0,0,0,0,Partial,8,5,233230,15611,0,1079,1079,840,0,1919,3,8,1,2,685,0
291,190,RL,Pave,Reg,Bnk,AllPub,Inside,SWISU,2fmCon,2Story,TA,Fa,PConc,TA,Fa,Rec,GasA,Ex,N,SBrkr,1,Fa,Typ,None,N,0,184,0,0,0,0,Normal,5,6,135900,5687,210,780,936,780,0,1716,6,9,0,0,0,8
292,50,RL,Pave,Reg,Lvl,AllPub,Inside,Edwards,1Fam,1.5Fin,TA,TA,CBlock,TA,TA,LwQ,GasA,Gd,Y,SBrkr,1,TA,Min2,Attchd,Y,0,0,0,0,160,0,Normal,5,4,131000,11409,292,768,1148,568,0,1716,3,8,1,1,281,1
293,60,RL,Pave,IR1,Lvl,AllPub,Corner,NWAmes,1Fam,2Story,TA,TA,CBlock,TA,TA,ALQ,GasA,Fa,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,250,0,0,0,0,Normal,7,7,235000,16659,795,795,1468,795,0,2263,3,9,1,2,539,12
294,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,110,0,0,0,0,0,Normal,6,5,167000,9600,1285,1416,1644,0,0,1644,3,7,2,2,418,56
295,80,RL,Pave,IR1,Lvl,AllPub,CulDSac,Mitchel,1Fam,SLvl,TA,TA,CBlock,TA,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,120,0,0,0,0,0,Normal,6,6,142500,7937,819,1003,1003,0,0,1003,3,6,0,2,588,22
296,50,RM,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,1.5Fin,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,FuseA,1,TA,Typ,Attchd,Y,289,0,0,0,0,0,Normal,5,5,152000,13710,420,910,910,648,0,1558,4,6,0,1,282,57
297,60,FV,Pave,IR1,Lvl,AllPub,Inside,Somerst,1Fam,2Story,Gd,TA,PConc,Gd,TA,BLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Detchd,Y,0,10,0,0,198,0,Normal,7,5,239000,7399,649,975,975,975,0,1950,3,7,1,2,576,9
298,60,RL,Pave,Reg,Lvl,AllPub,Inside,NWAmes,1Fam,2Story,Gd,TA,CBlock,TA,TA,ALQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,224,0,0,0,0,0,Normal,6,6,175000,11700,384,702,1041,702,0,1743,3,7,1,2,539,39
299,20,RL,Pave,Reg,Lvl,AllPub,Inside,Crawfor,1Fam,1Story,TA,Gd,CBlock,TA,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,36,0,0,0,0,Family,6,8,158500,14000,0,1092,1152,0,0,1152,3,6,1,1,300,5
300,190,RL,Pave,Reg,Lvl,AllPub,Corner,Crawfor,2fmCon,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,5,157000,15750,841,1165,1336,0,0,1336,2,5,2,1,375,53
301,60,RL,Pave,IR3,Lvl,AllPub,Inside,CollgCr,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,208,50,0,0,0,0,Normal,8,5,267000,16226,281,1028,1210,1242,0,2452,4,9,1,2,683,8
302,20,RL,Pave,IR1,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,468,81,0,0,0,0,Normal,7,5,205000,13704,0,1541,1541,0,0,1541,3,6,1,3,843,4
303,20,RL,Pave,Reg,Lvl,AllPub,Corner,CollgCr,1Fam,1Story,TA,TA,PConc,TA,TA,ALQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,256,0,0,0,0,0,Abnorml,5,7,149900,9800,894,894,894,0,0,894,3,5,0,2,552,34
304,75,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,2.5Fin,TA,TA,BrkTil,TA,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,302,0,0,0,0,0,Normal,7,9,295000,18386,0,1470,1675,1818,0,3493,3,10,1,3,870,6
305,20,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,168,0,0,0,0,0,Normal,8,5,305900,10386,1464,2000,2000,0,0,2000,3,8,0,3,888,2
306,60,RL,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,2Story,Gd,TA,CBlock,Gd,TA,ALQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,127,44,224,0,0,0,Normal,7,5,225000,13474,700,700,1122,1121,0,2243,4,8,1,3,746,16
307,50,RM,Pave,IR1,Lvl,AllPub,Inside,IDOTRR,1Fam,1.5Fin,TA,Fa,CBlock,TA,TA,Unf,GasA,TA,Y,FuseA,1,Fa,Typ,None,N,0,144,0,0,0,0,Normal,6,7,89500,7920,0,319,1035,371,0,1406,3,6,0,0,0,58
308,30,RL,Pave,IR1,Lvl,AllPub,Inside,Edwards,1Fam,1Story,TA,TA,CBlock,TA,TA,BLQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,158,0,0,0,0,0,Normal,4,5,82500,12342,262,861,861,0,0,861,1,4,0,2,539,59
309,20,RL,Pave,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Ex,Typ,Attchd,Y,208,175,0,0,0,0,Normal,9,5,360000,12378,1274,1896,1944,0,0,1944,3,8,3,3,708,2
310,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,TA,TA,PConc,Gd,TA,ALQ,GasA,Gd,Y,SBrkr,1,Gd,Typ,Attchd,Y,190,63,0,0,0,0,Normal,6,5,165600,7685,518,697,697,804,0,1501,3,6,1,2,420,12
311,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,Gd,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,6,6,132000,8000,680,972,972,0,0,972,2,5,1,1,240,7
312,190,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,2fmCon,1.5Fin,TA,TA,CBlock,Gd,TA,Rec,GasA,TA,Y,SBrkr,1,TA,Typ,Detchd,Y,0,0,0,0,271,0,Normal,5,7,119900,7800,507,793,793,325,0,1118,3,5,1,2,410,56
313,20,RL,Pave,IR3,Low,AllPub,Inside,Timber,1Fam,1Story,TA,TA,CBlock,Gd,TA,ALQ,GasW,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,7,5,375000,215245,1236,2136,2036,0,0,2036,3,8,2,2,513,44
314,70,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,2Story,TA,TA,BrkTil,TA,Gd,LwQ,GasA,Ex,Y,SBrkr,1,Ex,Typ,Detchd,Y,0,0,234,0,0,0,Normal,7,7,178000,9600,16,728,832,809,0,1641,3,6,1,2,546,16
315,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,100,51,0,0,0,0,Normal,7,5,188500,7795,425,716,716,716,0,1432,3,6,1,2,432,4
316,60,RL,Pave,IR1,Lvl,AllPub,Corner,NWAmes,1Fam,2Story,Gd,TA,CBlock,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,Ex,Typ,Attchd,Y,288,195,0,0,0,0,Normal,7,7,260000,13005,692,845,1153,1200,0,2353,4,10,1,2,484,29
317,60,FV,Pave,Reg,Lvl,AllPub,Inside,Somerst,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,208,46,0,0,0,0,Normal,8,5,270000,9000,0,1088,1088,871,0,1959,3,8,1,3,1025,1
318,60,RL,Pave,Reg,Low,AllPub,Inside,NoRidge,1Fam,2Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,340,60,144,0,0,0,Normal,7,5,260000,9900,987,1347,1372,1274,0,2646,4,9,1,3,656,16
319,80,RL,Pave,Reg,Lvl,AllPub,Inside,NWAmes,1Fam,SLvl,TA,TA,CBlock,Gd,TA,GLQ,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,233,48,0,0,0,0,Normal,7,5,187500,14115,1036,1372,1472,0,0,1472,3,6,2,2,588,29
320,60,RL,Pave,Reg,Lvl,AllPub,Corner,NridgHt,1Fam,2Story,TA,TA,PConc,Ex,Gd,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,240,154,0,0,0,0,Partial,9,5,342643,16259,0,1249,1249,1347,0,2596,4,9,0,3,840,0
321,60,RL,Pave,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,2Story,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,184,154,0,0,0,0,Normal,8,5,354000,12099,970,1136,1136,1332,0,2468,4,10,1,3,872,3
322,60,RL,Pave,IR1,Lvl,AllPub,Inside,SawyerW,1Fam,2Story,Gd,TA,CBlock,TA,TA,LwQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,201,96,0,0,0,0,Normal,7,5,301000,10380,28,1502,1553,1177,0,2730,4,8,1,2,576,20
323,20,RM,Pave,Reg,Lvl,AllPub,Inside,OldTown,1Fam,1Story,TA,Gd,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,142,98,0,0,0,0,Normal,3,8,126175,5820,256,1162,1163,0,0,1163,3,6,0,1,220,1
324,80,RL,Pave,Reg,Lvl,AllPub,Corner,NAmes,1Fam,SLvl,Gd,Gd,CBlock,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,BuiltIn,Y,240,0,0,0,0,0,Normal,7,7,242000,11275,0,710,1898,1080,0,2978,5,11,1,2,564,3
325,45,RM,Pave,Reg,Lvl,AllPub,Inside,IDOTRR,1Fam,1.5Unf,TA,TA,CBlock,TA,TA,BLQ,GasA,Po,N,FuseF,1,TA,Typ,Detchd,Y,0,0,244,0,0,0,Normal,5,6,87000,5000,116,720,803,0,0,803,2,5,0,2,360,57
326,120,RL,Pave,IR1,Lvl,AllPub,CulDSac,Veenker,TwnhsE,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,122,30,0,0,0,0,Normal,8,5,324000,10846,1619,1719,1719,0,0,1719,1,6,2,2,473,15
327,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,TA,Y,SBrkr,1,TA,Typ,Attchd,Y,0,45,0,0,0,0,Normal,6,5,145250,11600,565,1383,1383,0,0,1383,3,7,0,1,292,46
328,75,RL,Pave,IR1,Bnk,AllPub,Inside,BrkSide,1Fam,2.5Unf,TA,TA,BrkTil,TA,TA,Unf,GasA,Gd,N,FuseA,1,Gd,Typ,Detchd,Y,0,60,268,0,0,0,Normal,6,6,214500,11888,0,844,1445,689,0,2134,5,10,0,2,441,15
329,70,RM,Pave,Reg,Lvl,AllPub,Corner,IDOTRR,1Fam,2Story,TA,TA,PConc,TA,TA,Unf,GasA,TA,N,SBrkr,1,TA,Typ,Detchd,N,0,0,137,0,0,0,Normal,5,5,78000,6402,0,596,596,596,0,1192,3,6,0,1,189,59
330,90,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,Duplex,1Story,TA,TA,CBlock,TA,TA,GLQ,GasA,TA,Y,SBrkr,2,TA,Typ,Detchd,Y,155,0,0,0,0,0,Normal,5,4,119000,10624,40,1728,1728,0,0,1728,6,10,0,1,352,43
331,20,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,TA,Rec,GasA,Fa,Y,SBrkr,1,TA,Typ,Attchd,Y,0,0,0,0,0,0,Normal,5,6,139000,8176,846,1056,1056,0,0,1056,3,6,0,1,308,15
332,20,RL,Pave,IR1,Lvl,AllPub,Inside,NridgHt,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,0,0,0,0,0,0,Normal,8,5,284000,10655,1124,3206,1629,0,0,1629,3,7,1,3,880,5
333,120,RM,Pave,Reg,Lvl,AllPub,FR3,NridgHt,TwnhsE,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,192,30,0,0,0,0,Normal,7,5,207000,8198,720,1358,1358,0,0,1358,2,6,1,2,484,4
334,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gilbert,1Fam,2Story,TA,TA,PConc,Gd,TA,GLQ,GasA,Gd,Y,SBrkr,1,TA,Typ,Attchd,Y,100,38,0,0,0,0,Normal,6,5,192000,9042,828,943,943,695,0,1638,3,7,2,2,472,10
335,190,RL,Grvl,IR1,HLS,AllPub,Corner,Timber,2fmCon,1.5Fin,TA,TA,CBlock,TA,TA,ALQ,GasA,Ex,Y,SBrkr,1,TA,Typ,Attchd,Y,670,0,0,0,0,0,Normal,5,6,228950,164660,1249,1499,1619,167,0,1786,3,7,2,2,529,43
336,20,RL,Pave,IR1,HLS,AllPub,Corner,StoneBr,1Fam,1Story,Gd,TA,PConc,Ex,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,178,51,0,0,0,0,Normal,9,5,377426,14157,1249,1922,1922,0,0,1922,3,8,1,3,676,1
337,20,RL,Pave,Reg,Lvl,AllPub,Inside,CollgCr,1Fam,1Story,Gd,TA,PConc,Gd,TA,GLQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,192,74,0,0,0,0,Normal,7,5,214000,9135,810,1536,1536,0,0,1536,3,7,0,2,532,5
338,20,RL,Pave,Reg,Lvl,AllPub,Corner,NWAmes,1Fam,1Story,Gd,TA,CBlock,Gd,TA,ALQ,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,108,45,0,0,0,0,Normal,7,7,202500,14145,213,1208,1621,0,0,1621,3,8,0,2,440,8
339,20,RL,Pave,IR1,Lvl,AllPub,Inside,NAmes,1Fam,1Story,TA,TA,CBlock,TA,Fa,Rec,GasA,TA,Y,FuseA,1,TA,Typ,Attchd,Y,0,0,0,0,234,0,Normal,6,7,155000,12400,585,1215,1215,0,0,1215,3,6,0,1,297,11
340,60,RL,Pave,Reg,Lvl,AllPub,Inside,Timber,1Fam,2Story,Gd,TA,PConc,Gd,TA,Unf,GasA,Ex,Y,SBrkr,1,Gd,Typ,Attchd,Y,135,0,0,0,0,0,Normal,8,5,202900,14191,0,967,993,915,0,1908,4,9,0,2,431,8
341,20,RH,Pave,Reg,Lvl,AllPub,Inside,SawyerW,1Fam,1Story,Fa,Fa,CBlock,TA,Fa,Unf,GasA,Gd,Y,SBrkr,1,TA,Typ,CarPort,N,250,0,24,0,0,0,Normal,4,4,82000,8400,0,721,841,0,0,841,2,4,0,1,294,59
342,90,RL,Pave,Reg,Lvl,AllPub,Inside,NAmes,Duplex,1Story,TA,TA,Slab,None,None,None,Wall,Fa,N,FuseA,2,TA,Typ,Detchd,Y,0,0,0,0,0,0,Normal,3,4,87500,8544,0,0,1040,0,0,1040,2,6,0,2,400,56
